sku;altitude_factor;approved_heights;available_dimensions;bars_no_per_base_plate;bar_type-de_DE;bar_type-en_US;bar_type-es_ES;bar_type-fr_FR;bar_type-it_IT;base_plate_type-de_DE;base_plate_type-en_US;base_plate_type-es_ES;base_plate_type-fr_FR;base_plate_type-it_IT;border_wire_diameter;categories;category_res_height;cbr_puncture_resistance;certification_number;ce_number;coating;cross_section_area;description-de_DE-ecommerce;description-en_US-ecommerce;description-es_ES-ecommerce;description-fr_FR-ecommerce;description-it_IT-ecommerce;diameter_option;distance_between_posts;dk_snow_height;elongation_yeld_log_perc;elongation_yeld_trav_perc;enabled;energy_class;external_code;family;gas_permeability;geogrid_type-de_DE;geogrid_type-en_US;geogrid_type-es_ES;geogrid_type-fr_FR;geogrid_type-it_IT;groups;height;inner_diameter;junction_strength_n;lateral_anchors_no;length;material-de_DE;material-en_US;material-es_ES;material-fr_FR;material-it_IT;max_bending_moment_plate;max_beraring_rope_diameter;max_elongation;max_kn_comp_plate;max_kn_lateral;max_kn_shear_plate;max_kn_upslope;mel_energy;mesh_size;mesh_size_long;mesh_size_trasv;mesh_tpe;min_mass_coating;name;nominal_height;n_sliding_factor;outer_diameter;PACK-groups;PACK-products;pdf_description;pdf_title-de_DE;pdf_title-en_US;pdf_title-es_ES;pdf_title-fr_FR;pdf_title-it_IT;permeability_to_liquids;picture;porometry;post_type;primary_net_type-de_DE;primary_net_type-en_US;primary_net_type-es_ES;primary_net_type-fr_FR;primary_net_type-it_IT;process-de_DE;process-en_US;process-es_ES;process-fr_FR;process-it_IT;producer;product_certification;release_date-ecommerce;residual_height;retaining_rope_no_per_posts;sel_energy;slope_inclination;steel_grade_options;strand_diameter;SUBSTITUTION-groups;SUBSTITUTION-products;tech_drawing-de_DE;tech_drawing-en_US;tech_drawing-es_ES;tech_drawing-fr_FR;tech_drawing-it_IT;tensile_strenght_mesh;tensile_strength;thickness;thread_type-de_DE;thread_type-en_US;thread_type-es_ES;thread_type-fr_FR;thread_type-it_IT;type_of_netting-de_DE;type_of_netting-en_US;type_of_netting-es_ES;type_of_netting-fr_FR;type_of_netting-it_IT;type_of_system-de_DE;type_of_system-en_US;type_of_system-es_ES;type_of_system-fr_FR;type_of_system-it_IT;ultimate_elongation_long;ultimate_elongation_trav;ultimate_load;ultimate_load_long;ultimate_load_trasv;ultimate_strength;unit_weight;unit_weight_surface;UPSELL-groups;UPSELL-products;uv_resistance;vertical_permeability;width;wire_diameter;X_SELL-groups;X_SELL-products;yield_load;yield_strength
01.02.80.100.03.00.13;;;30x3.5;;;;;;;;;;;;;Geotechnics,chain_link_mesh,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05;;;;;Zn95Al5;;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;;;;;;1;;BAULIST.002.15;geotech_products;;;;;;;;;;;;;Steel EN 10264-2:2012;Steel EN 10264-2:2012;Steel EN 10264-2:2012;Steel EN 10264-2:2012;Steel EN 10264-2:2012;;;;;;;;;83;;;83x143;150;Geobrugg Tecco G65/4;;;;;;files/01.02.80.100.03.00.13/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.13/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Geobrugg AG;CE;;;;;;;;;;files/01.02.80.100.03.00.13/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.13/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.13/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.13/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.13/tech_drawing/it_IT/generic_technical_drawing.pdf;250;1770;;;;;;;Rhomboid-shaped mesh;Rhomboid-shaped mesh;Rhomboid-shaped mesh;Rhomboid-shaped mesh;Rhomboid-shaped mesh;;;;;;;;;;;;;3;;;;;;4;;;;
01.02.80.100.03.00.14;;;30x3.5;;;;;;;;;;;;;Geotechnics,chain_link_mesh,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05;;;;;Zn95Al5;;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;TECCO® mesh, featuring 2 mm, 3 mm or 4 mm wire made from high-tensile steel, can be used to stabilize virtually any kind of slope, whether it consists of rock or loose soil. Coupled with either of two different sized spike plates, the TECCO® SYSTEM3 offers an attractive nail grid and, therefore, maximum efficiency during installation.;;;;;;1;;BAULIST.002.16;geotech_products;;;;;;;;;;;;;Steel EN 10264-2:2012;Steel EN 10264-2:2012;Steel EN 10264-2:2012;Steel EN 10264-2:2012;Steel EN 10264-2:2012;;;;;;;;;103;;;103x180;150;Geobrugg Tecco G80/4;;;;;;files/01.02.80.100.03.00.14/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.14/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Geobrugg AG;CE;;;;;;;;;;files/01.02.80.100.03.00.14/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.14/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.14/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.14/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.14/tech_drawing/it_IT/generic_technical_drawing.pdf;190;1770;;;;;;;Rhomboid-shaped mesh;Rhomboid-shaped mesh;Rhomboid-shaped mesh;Rhomboid-shaped mesh;Rhomboid-shaped mesh;;;;;;;;;;;;;3;;;;;;4;;;;
01.02.80.100.03.00.20;;;8x8 max;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05;;;;;Zn95Al5;;TRUMER Omega-Net products consist of galvanized high grade corrosion prevention using Zinc or Zinc-Aluminium coating. The individual, pre-formed wave and interwoven strands of the rope are not connected to each other, since no clamps are used. This creates the highest flexibility and tensile strength characteristics;TRUMER Omega-Net products consist of galvanized high grade corrosion prevention using Zinc or Zinc-Aluminium coating. The individual, pre-formed wave and interwoven strands of the rope are not connected to each other, since no clamps are used. This creates the highest flexibility and tensile strength characteristics;TRUMER Omega-Net products consist of galvanized high grade corrosion prevention using Zinc or Zinc-Aluminium coating. The individual, pre-formed wave and interwoven strands of the rope are not connected to each other, since no clamps are used. This creates the highest flexibility and tensile strength characteristics;TRUMER Omega-Net products consist of galvanized high grade corrosion prevention using Zinc or Zinc-Aluminium coating. The individual, pre-formed wave and interwoven strands of the rope are not connected to each other, since no clamps are used. This creates the highest flexibility and tensile strength characteristics;TRUMER Omega-Net products consist of galvanized high grade corrosion prevention using Zinc or Zinc-Aluminium coating. The individual, pre-formed wave and interwoven strands of the rope are not connected to each other, since no clamps are used. This creates the highest flexibility and tensile strength characteristics;;;;;;1;;BAULIST.002.22;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;185;;;185x185;255;Omega 9.0/185;;;;;;files/01.02.80.100.03.00.20/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.20/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Trumer Schutzbauten Gmbh;ISO9001;;;;;;;9;;;files/01.02.80.100.03.00.20/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.20/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.20/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.20/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.20/tech_drawing/it_IT/generic_technical_drawing.pdf;465;1500-1600;;;;;;;Spiral rope net;Spiral rope net;Spiral rope net;Spiral rope net;Spiral rope net;;;;;;;;;;;;;6;;;;;;;;;;
01.02.80.100.03.00.21;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.23;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;200;;;200x200;200;Pannello fune 200x200/8;;;;;;files/01.02.80.100.03.00.21/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.21/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.21/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.21/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.21/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.21/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.21/tech_drawing/it_IT/generic_technical_drawing.pdf;100;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;10;;;;;;;;;;
01.02.80.100.03.00.22;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.24;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;200;;;200x200;200;Pannello fune 200x200/8/14;;;;;;files/01.02.80.100.03.00.22/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.22/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.22/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.22/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.22/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.22/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.22/tech_drawing/it_IT/generic_technical_drawing.pdf;120;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;12;;;;;;;;;;
01.02.80.100.03.00.23;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.25;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;250;;;250x250;200;Pannello fune 250x250/8;;;;;;files/01.02.80.100.03.00.23/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.23/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.23/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.23/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.23/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.23/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.23/tech_drawing/it_IT/generic_technical_drawing.pdf;80;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;8;;;;;;;;;;
01.02.80.100.03.00.24;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.26;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;250;;;250x250;200;Pannello fune 250x250/8/14;;;;;;files/01.02.80.100.03.00.24/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.24/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.24/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.24/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.24/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.24/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.24/tech_drawing/it_IT/generic_technical_drawing.pdf;100;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;9;;;;;;;;;;
01.02.80.100.03.00.25;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.27;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;300;;;300x300;200;Pannello fune 300x300/8;;;;;;files/01.02.80.100.03.00.25/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.25/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.25/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.25/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.25/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.25/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.25/tech_drawing/it_IT/generic_technical_drawing.pdf;60;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;7;;;;;;;;;;
01.02.80.100.03.00.26;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.28;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;300;;;300x300;200;Pannello fune 300x300/8/14;;;;;;files/01.02.80.100.03.00.26/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.26/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.26/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.26/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.26/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.26/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.26/tech_drawing/it_IT/generic_technical_drawing.pdf;80;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;8;;;;;;;;;;
01.02.80.100.03.00.27;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.29;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;200;;;200x200;200;Pannello fune 200x200/8;;;;;;files/01.02.80.100.03.00.27/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.27/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;Incofil;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.27/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.27/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.27/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.27/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.27/tech_drawing/it_IT/generic_technical_drawing.pdf;100;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;10;;;;;;;;;;
01.02.80.100.03.00.28;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.30;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;200;;;200x200;200;Pannello fune 200x200/8/16;;;;;;files/01.02.80.100.03.00.28/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.28/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;MGTech;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.28/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.28/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.28/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.28/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.28/tech_drawing/it_IT/generic_technical_drawing.pdf;130;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;13;;;;;;;;;;
01.02.80.100.03.00.29;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.31;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;250;;;250x250;200;Pannello fune 250x250/8;;;;;;files/01.02.80.100.03.00.29/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.29/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;MGTech;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.29/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.29/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.29/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.29/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.29/tech_drawing/it_IT/generic_technical_drawing.pdf;80;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;8;;;;;;;;;;
01.02.80.100.03.00.30;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.32;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;250;;;250x250;200;Pannello fune 250x250/8/16;;;;;;files/01.02.80.100.03.00.30/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.30/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;MGTech;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.30/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.30/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.30/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.30/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.30/tech_drawing/it_IT/generic_technical_drawing.pdf;110;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;10;;;;;;;;;;
01.02.80.100.03.00.31;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.33;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;300;;;300x300;200;Pannello fune 300x300/8;;;;;;files/01.02.80.100.03.00.31/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.31/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;MGTech;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.31/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.31/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.31/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.31/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.31/tech_drawing/it_IT/generic_technical_drawing.pdf;60;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;7;;;;;;;;;;
01.02.80.100.03.00.32;;;5x3, 6x4, 3x3;;;;;;;;;;;;;Geotechnics,netting,ss_15,ss_15_10_35,ss_15_10_70,ss_25_40_50_05,wire_rope_panels;;;;;Zn;;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;Wire Rope Panel...;;;;;;1;;BAULIST.002.34;geotech_products;;;;;;;;;;;;;Steel;Steel;Steel;Steel;Steel;;;;;;;;;300;;;300x300;200;Pannello fune 300x300/8/16;;;;;;files/01.02.80.100.03.00.32/pdf_description/generic_datasheet.pdf;Data Sheet DE;Data Sheet EN;Data Sheet ES;Data Sheet FR;Scheda Tecnica;;files/01.02.80.100.03.00.32/picture/prod_picture-300x300.jpg;;;;;;;;;;;;;MGTech;ISO9002;;;;;;;8;;;files/01.02.80.100.03.00.32/tech_drawing/de_DE/generic_technical_drawing.pdf;files/01.02.80.100.03.00.32/tech_drawing/en_US/generic_technical_drawing.pdf;files/01.02.80.100.03.00.32/tech_drawing/es_ES/generic_technical_drawing.pdf;files/01.02.80.100.03.00.32/tech_drawing/fr_FR/generic_technical_drawing.pdf;files/01.02.80.100.03.00.32/tech_drawing/it_IT/generic_technical_drawing.pdf;90;1770;;;;;;;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;Wire rope panel;;;;;;;;;;;;;9;;;;;;;;;;
